category,resource_name,status_page,favicon_url,check_type,scrape_keywords,api_config
K-8|K-5,Zearn,https://status.zearn.org,,heartbeat,,
K-8|K-5,BrainPOP ELL,https://status.brainpop.com,,heartbeat,,
K-8|K-5,Legends of Learning,https://legendsoflearning.com,,heartbeat,,
K-8|K-5,Prodigy,https://prodigy.com,,heartbeat,,
K-8|K-5|K-12|9-12|6-12|6-8,Schoology Learning,https://status.powerschool.com/api/v2/summary.json,,api,,"{""fieldPath"":""components[80].status""}"
K-8|K-5|K-12|9-12|6-12|6-8,Google Workspace for Education,https://www.google.com/appsstatus/dashboard/,,scrape,No incidents,
K-8|K-5|K-12|9-12|6-12|6-8,Canva for Education,https://www.canvastatus.com/api/v2/summary.json,,api,,"{""fieldPath"":""status.description""}"
K-8|K-5|K-12|9-12|6-12|6-8,WeVideo,https://status.wevideo.com/api/v2/summary.json,,api,,"{""fieldPath"":""status.description""}"
K-8|K-5|K-12|9-12|6-12|6-8,Socrative,https://status.socrative.com/api/v2/summary.json,,api,,"{""fieldPath"":""status.description""}"
K-8|K-5|K-12|9-12|6-12|6-8,Lumio (formerly SMART Learning Suite Online),https://status.smarttech.com/,,heartbeat,,
K-8|K-5|K-12|9-12|6-12|6-8,Screencastify,https://status.screencastify.com/api/v2/summary.json,,api,,"{""fieldPath"":""status.description""}"
K-8|K-5|K-12|9-12|6-12|6-8,SchoolAI,https://status.schoolai.com/api/v2/summary.json,,api,,"{""fieldPath"":""status.description""}"
K-8|K-5|K-12|9-12|6-12|6-8,Remind,https://status.remind.com/api/v2/summary.json,,api,,"{""fieldPath"":""status.description""}"
K-8|K-5|K-12|9-12|6-12|6-8,Pear Assessment (formerly Edulastic),https://status.peardeck.com/api/v2/summary.json,,api,,"{""fieldPath"":""components[0].status""}"
K-8|K-5|K-12|9-12|6-12|6-8,Pear Deck,https://status.peardeck.com/api/v2/summary.json,,api,,"{""fieldPath"":""components[1].status""}"
K-8|K-5|K-12|9-12|6-12|6-8,OverDrive,https://status.overdrive.com/api/v2/summary.json,,api,,"{""fieldPath"":""status.description""}"
K-8|K-5|K-12|9-12|6-12|6-8,Sora,https://status.openai.com/api/v2/summary.json,,api,,"{""fieldPath"":""components[0].status""}"
K-8|K-5|K-12|9-12|6-12|6-8,Newsela,https://status.newsela.com/,,heartbeat,,
K-8|K-5|K-12|9-12|6-12|6-8,Nearpod,https://status.nearpod.com/api/v2/summary.json,,api,,"{""fieldPath"":""status.description""}"
K-8|K-5|K-12|9-12|6-12|6-8,News2You,https://status.n2y.com/api/v2/summary.json,,api,,"{""fieldPath"":""status.description""}"
K-8|K-5|K-12|9-12|6-12|6-8,Kami (Alternative on Schoology),https://status.kamihq.com/api/v2/summary.json,,api,,"{""fieldPath"":""status.description""}"
